iter	Passed	Remaining
0	124	123915
1	124	62334
2	125	41694
3	125	31364
4	126	25172
5	127	21040
6	127	18086
7	128	15877
8	128	14157
9	129	12778
10	129	11676
11	130	10735
12	130	9938
13	131	9254
14	131	8662
15	132	8143
16	132	7686
17	133	7279
18	133	6914
19	134	6588
20	134	6292
21	135	6022
22	135	5776
23	136	5549
24	136	5342
25	137	5150
26	137	4972
27	138	4807
28	139	4654
29	139	4510
30	139	4376
31	140	4251
32	141	4133
33	141	4022
34	142	3916
35	142	3817
36	143	3723
37	143	3633
38	144	3550
39	144	3477
40	145	3402
41	146	3331
42	146	3263
43	147	3197
44	147	3134
45	148	3073
46	148	3015
47	149	2959
48	149	2905
49	150	2853
50	150	2803
51	151	2756
52	151	2711
53	152	2667
54	152	2625
55	153	2584
56	153	2545
57	154	2507
58	154	2470
59	155	2434
60	155	2399
61	156	2365
62	156	2333
63	157	2301
64	157	2270
65	158	2241
66	158	2212
67	159	2180
68	159	2153
69	160	2127
70	160	2101
71	161	2076
72	161	2051
73	162	2028
74	162	2005
75	163	1982
76	163	1960
77	164	1939
78	164	1918
79	165	1900
80	165	1880
81	166	1861
82	166	1842
83	167	1823
84	167	1804
85	168	1786
86	168	1767
87	168	1750
88	169	1733
89	169	1717
90	170	1701
91	170	1686
92	171	1671
93	171	1656
94	172	1642
95	172	1627
96	173	1613
97	173	1600
98	174	1586
99	174	1573
100	175	1560
101	175	1545
102	176	1533
103	176	1521
104	177	1509
105	177	1497
106	178	1485
107	178	1474
108	179	1463
109	179	1452
110	180	1442
111	180	1431
112	181	1422
113	181	1412
114	182	1401
115	182	1391
116	183	1381
117	183	1371
118	183	1361
119	184	1352
120	184	1343
121	185	1334
122	185	1323
123	186	1314
124	186	1306
125	187	1297
126	187	1289
127	187	1280
128	188	1272
129	188	1264
130	189	1256
131	189	1248
132	190	1241
133	190	1233
134	191	1226
135	191	1218
136	192	1211
137	192	1203
138	193	1196
139	193	1190
140	194	1183
141	194	1177
142	195	1170
143	195	1164
144	196	1157
145	196	1151
146	197	1144
147	197	1138
148	198	1132
149	198	1126
150	199	1120
151	199	1114
152	200	1108
153	200	1103
154	201	1097
155	201	1091
156	202	1086
157	202	1080
158	203	1075
159	203	1069
160	204	1064
161	204	1058
162	205	1053
163	205	1048
164	206	1043
165	206	1038
166	207	1032
167	207	1027
168	208	1023
169	208	1018
170	209	1013
171	209	1009
172	210	1004
173	210	999
174	211	995
175	211	990
176	212	986
177	212	981
178	213	977
179	213	972
180	213	967
181	214	963
182	214	958
183	215	954
184	215	950
185	216	946
186	216	942
187	217	938
188	217	934
189	218	930
190	218	926
191	219	922
192	219	918
193	220	914
194	220	910
195	221	907
196	221	903
197	222	899
198	222	896
199	223	893
200	223	889
201	224	885
202	224	882
203	225	878
204	225	875
205	226	871
206	226	868
207	227	865
208	227	861
209	228	858
210	228	854
211	229	851
212	229	848
213	230	845
214	230	841
215	231	838
216	231	835
217	232	832
218	232	829
219	233	826
220	233	823
221	233	819
222	234	816
223	234	813
224	235	810
225	235	807
226	236	804
227	236	802
228	237	799
229	237	796
230	238	793
231	238	790
232	239	787
233	239	784
234	240	782
235	240	779
236	241	776
237	241	773
238	242	771
239	242	768
240	243	765
241	243	762
242	244	760
243	244	757
244	245	755
245	245	752
246	246	750
247	246	747
248	247	745
249	247	742
250	248	740
251	248	737
252	248	735
253	249	732
254	249	730
255	250	727
256	250	725
257	251	723
258	251	720
259	252	718
260	252	716
261	253	713
262	253	711
263	254	709
264	254	706
265	255	704
266	255	702
267	256	700
268	256	697
269	257	695
270	257	693
271	258	691
272	258	689
273	259	687
274	259	685
275	260	683
276	260	680
277	261	678
278	261	676
279	262	674
280	262	672
281	263	670
282	263	668
283	264	666
284	264	664
285	265	662
286	265	660
287	266	658
288	266	656
289	267	654
290	267	652
291	268	650
292	268	648
293	269	646
294	269	644
295	270	642
296	270	640
297	271	638
298	271	636
299	272	634
300	272	633
301	273	631
302	273	629
303	274	627
304	274	625
305	275	624
306	275	622
307	276	620
308	276	618
309	277	616
310	277	615
311	278	613
312	278	611
313	279	609
314	279	607
315	280	606
316	280	604
317	281	602
318	281	600
319	281	599
320	282	597
321	282	595
322	283	594
323	283	592
324	284	590
325	284	588
326	285	587
327	285	585
328	286	583
329	286	582
330	287	580
331	287	579
332	288	577
333	289	576
334	289	574
335	289	573
336	290	571
337	291	570
338	291	568
339	292	566
340	292	565
341	293	563
342	293	562
343	294	560
344	294	559
345	295	557
346	295	556
347	296	554
348	296	553
349	297	551
350	297	550
351	298	548
352	298	547
353	299	545
354	299	544
355	300	542
356	300	541
357	301	539
358	301	538
359	302	536
360	302	535
361	302	534
362	303	532
363	303	531
364	304	529
365	304	528
366	305	526
367	305	525
368	306	524
369	306	522
370	307	521
371	307	519
372	308	518
373	309	517
374	309	515
375	310	514
376	310	513
377	311	512
378	311	510
379	312	509
380	312	508
381	313	506
382	313	505
383	314	504
384	314	502
385	315	501
386	315	500
387	316	498
388	316	497
389	317	496
390	317	494
391	318	493
392	318	492
393	319	491
394	319	489
395	320	488
396	320	487
397	321	485
398	321	484
399	322	483
400	322	482
401	323	480
402	323	479
403	324	478
404	324	476
405	325	475
406	325	474
407	326	473
408	326	471
409	327	470
410	327	469
411	328	468
412	328	466
413	329	465
414	329	464
415	330	463
416	330	462
417	330	460
418	331	459
419	332	458
420	332	457
421	333	456
422	333	455
423	334	454
424	334	452
425	335	451
426	335	450
427	336	449
428	336	448
