iter	Passed	Remaining
0	69	69870
1	70	35219
2	71	23642
3	71	17838
4	72	14357
5	72	12033
6	73	10372
7	73	9126
8	74	8155
9	74	7386
10	75	6758
11	75	6231
12	76	5786
13	76	5405
14	77	5071
15	77	4783
16	78	4529
17	78	4301
18	79	4097
19	80	3928
20	80	3762
21	81	3612
22	81	3478
23	82	3351
24	82	3234
25	83	3125
26	83	3026
27	84	2934
28	85	2846
29	85	2764
30	86	2692
31	86	2625
32	87	2561
33	87	2498
34	88	2438
35	88	2381
36	89	2327
37	89	2276
38	90	2228
39	90	2182
40	91	2138
41	91	2098
42	92	2059
43	93	2021
44	93	1985
45	94	1959
46	94	1926
47	95	1893
48	95	1862
49	96	1834
50	97	1805
51	97	1781
52	98	1756
53	98	1731
54	99	1710
55	100	1690
56	100	1666
57	101	1644
58	101	1622
59	102	1601
60	102	1580
61	103	1560
62	103	1543
63	104	1525
64	104	1509
65	105	1491
66	105	1474
67	106	1457
68	106	1441
69	107	1425
70	107	1410
71	108	1395
72	108	1380
73	109	1366
74	109	1352
75	110	1340
76	110	1327
77	111	1315
78	111	1303
79	112	1291
80	112	1279
81	113	1268
82	113	1254
83	114	1244
84	114	1233
85	115	1223
86	115	1212
87	116	1203
88	116	1193
89	117	1184
90	117	1175
91	118	1166
92	118	1157
93	119	1148
94	119	1139
95	120	1131
96	120	1122
97	121	1114
98	121	1106
99	122	1098
100	122	1090
101	123	1082
102	123	1075
103	124	1068
104	124	1061
105	124	1054
106	125	1047
107	125	1040
108	126	1033
109	126	1026
110	127	1019
111	127	1013
112	128	1006
113	128	1000
114	129	995
115	129	990
116	130	983
117	130	978
118	131	972
119	131	966
120	132	961
121	132	954
122	133	949
123	133	943
124	134	938
125	134	933
126	134	927
127	135	922
128	135	918
129	136	913
130	136	908
131	137	904
132	137	899
133	138	894
134	138	889
135	139	885
136	139	880
137	140	876
138	140	872
139	141	869
140	141	865
141	142	860
142	142	856
143	143	852
144	143	848
145	144	844
146	144	840
147	145	836
148	145	833
149	146	829
150	146	825
151	147	822
152	147	818
153	148	815
154	148	811
155	149	808
156	150	805
157	150	801
158	150	798
159	151	794
160	151	790
161	152	787
162	152	783
163	153	780
164	153	777
165	154	777
166	155	775
167	155	771
168	156	768
169	156	765
170	157	762
171	157	759
172	158	756
173	158	753
174	159	750
175	159	748
176	160	745
177	160	742
178	161	740
179	161	737
180	162	734
181	162	731
182	163	728
183	163	726
184	164	723
185	164	720
186	165	717
187	165	715
188	166	713
189	166	711
190	167	708
191	167	706
192	168	704
193	168	701
194	169	699
195	169	696
196	170	694
197	170	691
198	171	689
199	171	687
200	172	684
201	172	682
202	173	680
203	173	678
204	174	676
205	174	674
206	175	671
207	175	669
208	176	667
209	176	665
210	177	663
211	177	661
212	178	659
213	179	657
214	179	655
215	180	653
216	180	651
217	180	649
218	181	647
219	181	645
220	182	643
221	182	641
222	183	639
223	183	637
224	184	635
225	185	633
226	185	631
227	186	630
228	186	628
229	187	626
230	187	624
231	188	622
232	188	620
233	189	618
234	189	616
235	189	615
236	190	613
237	191	611
238	191	609
239	192	608
240	192	606
241	193	604
242	193	602
243	193	601
244	194	599
245	194	597
246	195	595
247	195	593
248	196	592
249	196	590
250	197	589
251	197	587
252	198	585
253	198	584
254	199	582
255	199	580
256	200	578
257	200	577
258	201	575
259	201	573
260	202	572
261	202	570
262	203	569
263	203	568
264	204	566
265	204	565
266	205	563
267	205	562
268	206	560
269	206	559
270	207	557
271	207	556
272	208	554
273	208	553
274	209	551
275	209	550
276	210	549
277	210	547
278	211	546
279	211	545
280	212	543
281	212	542
282	213	540
283	213	539
284	214	537
285	214	536
286	215	535
287	215	533
288	216	532
289	216	531
290	217	529
291	217	528
292	218	527
293	218	525
294	219	524
295	219	523
296	220	521
297	220	520
298	221	519
299	222	518
300	222	516
301	223	515
302	223	514
303	224	513
304	224	511
305	225	510
306	225	508
307	225	507
308	226	506
309	226	505
310	227	503
311	227	502
312	228	501
313	228	500
314	229	498
315	229	497
316	230	496
317	230	495
318	231	493
319	231	492
320	232	491
321	232	489
322	233	488
323	233	487
324	234	486
325	234	485
326	235	484
327	236	483
328	236	482
329	237	481
330	237	480
331	237	478
332	238	477
333	238	476
334	239	475
335	239	474
336	240	472
337	240	471
338	241	470
339	241	469
340	242	468
341	242	467
342	243	466
343	243	464
344	244	463
345	244	462
346	245	461
347	245	460
348	246	459
349	246	458
350	247	457
351	247	456
352	248	455
353	248	453
354	249	452
355	249	451
356	250	450
357	250	449
358	251	448
359	251	447
360	252	446
361	252	445
362	253	444
363	253	443
364	254	442
365	254	441
366	255	440
367	255	439
368	256	438
369	256	436
370	257	435
371	257	434
372	258	433
373	258	433
374	259	432
375	259	431
376	260	430
377	261	429
378	261	428
379	262	427
380	262	426
381	263	425
382	263	424
383	264	423
384	264	423
385	265	422
386	265	421
387	266	420
388	267	419
389	267	418
390	268	417
391	268	416
392	268	415
393	269	414
394	269	413
395	270	412
396	271	411
397	271	410
398	272	410
399	273	409
400	273	408
401	274	407
402	274	406
403	275	406
404	275	405
405	276	404
406	276	403
407	277	402
408	277	401
409	278	400
410	278	399
411	279	398
412	279	397
413	280	396
414	280	395
415	281	395
416	281	394
417	282	393
418	282	392
419	283	391
420	284	391
421	284	390
422	285	389
423	285	388
424	286	387
425	286	386
426	287	385
427	287	384
428	288	383
429	288	382
430	289	381
431	289	381
432	290	380
433	290	379
434	291	378
435	291	377
436	292	376
437	292	375
438	293	374
439	293	373
440	294	373
441	294	372
442	295	371
443	295	370
444	296	369
445	296	368
446	297	367
447	297	367
448	298	366
449	298	365
450	299	364
451	299	363
452	300	362
453	300	361
454	301	361
455	302	360
456	302	359
457	303	358
458	303	357
459	304	357
460	304	356
461	305	355
462	305	354
463	306	353
464	306	352
465	307	351
466	307	351
467	308	350
468	308	349
469	309	348
470	309	347
471	310	347
472	310	346
473	311	345
474	311	344
475	312	343
476	312	342
477	313	342
478	313	341
479	314	340
480	314	339
481	315	338
482	315	338
483	316	337
484	316	336
485	317	335
486	317	334
487	318	334
488	318	333
489	319	332
490	320	331
491	320	330
492	321	330
493	321	329
494	322	328
495	322	327
496	323	326
497	323	326
498	324	325
499	324	324
500	325	323
501	325	322
502	326	322
503	326	321
504	327	320
505	327	319
506	328	319
507	328	318
508	329	317
509	329	316
510	330	315
511	330	315
512	331	314
513	331	313
514	332	312
515	332	311
516	333	311
517	333	310
518	334	309
519	334	309
520	335	308
521	335	307
522	336	306
523	336	305
524	337	305
525	337	304
526	338	303
527	338	302
528	339	302
529	339	301
530	340	300
531	340	299
532	341	299
533	342	298
534	342	297
535	343	296
536	343	296
537	344	295
538	344	294
539	345	293
540	345	293
541	346	292
542	346	291
543	347	291
544	347	290
545	348	289
546	348	288
547	349	288
548	349	287
549	350	286
550	350	285
551	351	285
552	351	284
553	352	283
554	352	282
555	353	282
556	353	281
557	354	280
558	355	280
559	355	279
560	356	278
561	356	277
562	356	277
563	357	276
564	358	275
565	358	274
566	359	274
567	359	273
568	360	272
569	360	272
570	361	271
571	361	270
572	362	269
573	362	269
574	363	268
575	363	267
576	364	267
577	364	266
578	365	265
579	366	265
580	366	264
581	367	263
582	367	262
583	368	262
584	368	261
585	369	261
586	369	260
587	370	259
588	371	258
589	371	258
590	372	257
591	372	256
592	373	256
593	373	255
594	374	254
595	374	253
596	375	253
597	375	252
598	376	251
599	376	251
600	377	250
601	377	249
602	378	249
603	378	248
604	379	247
605	379	246
606	380	246
607	380	245
608	381	244
609	381	244
610	382	243
611	383	242
612	383	242
613	384	241
614	384	240
615	385	240
616	385	239
617	386	238
618	386	238
619	387	237
620	387	236
621	388	235
622	388	235
623	389	234
624	389	233
625	390	233
626	390	232
627	391	231
628	391	231
629	392	230
630	392	229
631	393	228
632	393	228
633	394	227
634	394	226
635	395	226
636	395	225
637	396	224
638	396	224
639	397	223
640	397	222
641	398	222
642	398	221
643	399	220
644	399	220
645	400	219
646	400	218
647	401	217
648	401	217
649	402	216
650	402	216
651	403	215
652	403	214
653	404	213
654	405	213
655	405	212
656	406	211
657	406	211
658	406	210
659	407	209
660	408	209
661	408	208
662	409	208
663	409	207
664	410	206
665	411	206
666	411	205
667	412	204
668	412	204
669	413	203
670	413	202
671	414	202
672	414	201
673	415	200
674	415	200
675	416	199
676	416	198
677	417	198
678	418	197
679	418	197
680	419	196
681	419	195
682	420	195
683	420	194
684	421	193
685	421	193
686	422	192
687	422	191
688	423	191
689	424	190
690	424	189
691	425	189
692	425	188
693	426	188
694	426	187
695	427	186
696	427	186
697	428	185
698	428	184
699	429	184
700	429	183
701	430	182
702	431	182
703	431	181
704	432	180
705	432	180
706	433	179
707	433	178
708	434	178
709	434	177
710	435	176
711	435	176
712	436	175
713	436	175
714	437	174
715	437	173
716	438	173
717	438	172
718	439	171
719	440	171
720	440	170
721	441	169
722	441	169
723	442	168
724	442	167
725	443	167
726	443	166
727	444	166
728	444	165
729	445	164
730	445	164
731	446	163
732	447	162
733	447	162
734	448	161
735	448	160
736	449	160
737	449	159
738	450	159
739	450	158
740	451	157
741	451	157
742	452	156
743	452	155
744	453	155
745	453	154
746	454	153
747	454	153
748	455	152
749	455	151
750	456	151
751	456	150
752	457	150
753	457	149
754	458	148
755	458	148
756	459	147
757	459	146
758	460	146
759	460	145
760	461	144
761	461	144
762	462	143
763	463	143
764	463	142
765	464	141
766	464	141
767	465	140
768	465	139
769	466	139
770	466	138
771	467	138
772	468	137
773	468	136
774	469	136
775	469	135
776	470	135
777	470	134
778	471	133
779	471	133
780	472	132
781	472	131
782	473	131
783	473	130
784	474	129
785	475	129
786	475	128
787	476	128
788	476	127
789	477	126
790	477	126
791	478	125
792	478	124
793	479	124
794	479	123
795	480	123
796	480	122
797	481	121
798	481	121
799	482	120
800	482	119
801	483	119
802	483	118
803	484	118
804	485	117
805	485	116
806	486	116
807	486	115
808	487	115
809	487	114
810	488	113
811	488	113
812	489	112
813	489	111
814	490	111
815	490	110
816	491	110
817	491	109
818	492	108
819	492	108
820	493	107
821	494	106
822	494	106
823	495	105
824	495	105
825	496	104
826	496	103
827	497	103
828	497	102
829	498	102
830	498	101
831	499	100
832	499	100
833	500	99
834	500	98
835	501	98
836	502	97
837	502	97
838	503	96
839	503	95
840	504	95
841	504	94
842	505	94
843	506	93
844	506	92
845	507	92
846	507	91
847	508	91
848	508	90
849	509	89
850	509	89
851	510	88
852	510	88
853	511	87
854	511	86
855	512	86
856	512	85
857	513	84
858	513	84
859	514	83
860	514	83
861	515	82
862	516	81
863	516	81
864	517	80
865	517	80
866	518	79
867	518	78
868	519	78
869	520	77
870	520	77
871	521	76
872	521	75
873	522	75
874	522	74
875	523	74
876	523	73
877	524	72
878	524	72
879	525	71
880	525	71
881	526	70
882	526	69
883	527	69
884	527	68
885	528	67
886	528	67
887	529	66
888	529	66
889	530	65
890	530	64
891	531	64
892	531	63
893	532	63
894	532	62
895	533	61
896	533	61
897	534	60
898	534	60
899	535	59
900	535	58
901	536	58
902	536	57
903	537	57
904	537	56
905	538	55
906	538	55
907	539	54
908	539	54
909	540	53
910	540	52
911	541	52
912	542	51
913	542	51
914	543	50
915	543	49
916	544	49
917	544	48
918	545	48
919	545	47
920	546	46
921	546	46
922	547	45
923	547	45
924	548	44
925	548	43
926	549	43
927	549	42
928	550	42
929	550	41
930	551	40
931	551	40
932	552	39
933	552	39
934	553	38
935	553	37
936	554	37
937	555	36
938	555	36
939	556	35
940	556	34
941	557	34
942	557	33
943	558	33
944	558	32
945	559	31
946	559	31
947	560	30
948	560	30
949	561	29
950	561	28
951	562	28
952	562	27
953	563	27
954	563	26
955	564	25
956	564	25
957	565	24
958	565	24
959	566	23
960	566	23
961	567	22
962	567	21
963	568	21
964	568	20
965	569	20
966	570	19
967	570	18
968	570	18
969	571	17
970	572	17
971	572	16
972	573	15
973	573	15
974	574	14
975	574	14
976	575	13
977	575	12
978	576	12
979	576	11
980	577	11
981	578	10
982	578	10
983	579	9
984	579	8
985	580	8
986	580	7
987	581	7
988	581	6
989	582	5
990	582	5
991	583	4
992	583	4
993	584	3
994	584	2
